Suburb,Place_id,commercial.shopping_mall,catering,education,entertainment,healthcare,public_transport,office,natural,total
Heathcote,518b78a16f81166240594f159d76427542c0f00101f9018b95250000000000c00207,0,15,3,2,5,4,5,20,54
Heathcote junction,51648588b884216240598884effd0db142c0f00101f901c902250000000000c00206,0,0,0,0,0,1,0,9,10
Heatherton,5194089e8cfb226240599f1b3ff960fa42c0f00101f901b4a8240000000000c00205,0,5,1,1,0,10,3,20,40
Heathmont,51af9bad17de276240594215ede016ea42c0f00101f9013ca0240000000000c00205,0,7,4,0,2,15,1,8,37
Heidelberg,51aa10ea7d3e226240597777ae3951e042c0f00101f901ba4f240000000000c00205,1,15,4,0,10,17,6,4,57
Heidelberg heights,515e8a0684b1216240591504ea2862df42c0f00101f901d44f240000000000c00205,0,7,0,0,0,20,1,0,28
Heidelberg west,51d9fc09786321624059b37ff9bf7ede42c0f00101f901f54f240000000000c00205,0,11,3,0,4,20,1,0,39
Hepburn,514483d69e19046240593ed175e107a842c0f00101f901c10e2a0000000000c00206,0,0,1,0,0,2,0,20,23
Hepburn springs,5134dcdb888204624059f217699890a742c0f00103f901d827980300000000c0020692030f4865706275726e20537072696e6773,0,19,6,1,1,8,0,20,55
Herne hill,515f79909e620a624059a1e760472d1143c0f00101f9014d8c250000000000c00205,0,6,3,0,2,4,0,0,15
Heyfield,51eb747ba41c596240595d363ae7a7fd42c0f00101f901d6d1270000000000c00208,0,7,3,1,0,0,1,20,32
Heywood,51a514747b09b4614059fb1175d5f21043c0f00101f901c272300000000000c00207,0,1,2,0,2,0,0,20,25
Highett,5153af5b04462162405916003ed3a6f942c0f00101f9016ca9240000000000c00205,0,5,2,0,1,20,1,5,34
Highton,516297f26b350a624059816154ade01543c0f00101f9014e8c250000000000c00205,2,15,7,0,3,20,2,20,69
Hillside (melton),51b768b74cbc176240596fab0fda61d842c0f00101f90104fd240000000000c00205,0,6,3,0,1,20,0,2,32
Hopetoun,511ea10b8fa2cb6140598102942b61dd41c0f00101f90169772f0000000000c00207,0,2,3,0,1,1,0,20,27
Hoppers crossing,51492eff213d1662405940d763c7ebee42c0f00101f9017a02250000000000c00205,3,20,12,1,6,20,1,11,74
Horsham,51a92f4b3b75c6614059b3ad0be47e5b42c0f00101f9019d5d300000000000c00207,2,20,9,5,6,3,2,20,67
Hughesdale,5191894ad99822624059895462e822f342c0f00101f9014e97240000000000c00205,0,17,4,0,5,11,9,0,46
Huntingdale,51578fa09d7823624059dcb75a272ef442c0f00101f901b099240000000000c00205,0,14,0,0,3,8,3,0,28
Huntly,51e9e802a8b30a624059e3c3ec65db5442c0f00101f90109022f0000000000c00208,0,0,1,0,0,6,0,20,27
Hurstbridge,5160ea420738266240599e36f4609cd142c0f00101f9018d97240000000000c00205,0,14,2,0,5,5,2,20,48
Indented head,518bcb4cc4761662405977007ad0a21143c0f00101f901ba3a250000000000c00207,0,0,0,0,0,0,1,1,2
Inglewood,51ad212702cbfb614059a1a3b0e65b4942c0f00101f9017f3a2f0000000000c00207,0,3,2,0,2,4,0,20,31
Inverloch,518623a35e4b37624059dc18f1530b5143c0f00101f9015d9b280000000000c00207,0,10,2,0,1,1,0,20,34
Invermay park,518640812f83fb614059e0a3fe7a85c342c0f00101f901e1b62f0000000000c00206,0,1,1,0,0,11,0,18,31
Ironbark,519ef5df398a0862405991aba289c16042c0f00101f9011dfc2e0000000000c00205,0,3,1,0,0,14,1,2,21
Irymple,514dc57c2f74c5614059bb97fbe4281e41c0f00101f9010f852f0000000000c00207,0,2,5,0,1,3,1,20,32
Ivanhoe,51a21232eb602162405944cd469d6fe242c0f00101f9016959240000000000c00205,1,20,7,0,13,20,17,20,98
Ivanhoe east,51ee3f321dfa2162405996c50e74fee242c0f00101f9014c58240000000000c00205,0,1,1,0,1,12,1,2,18
Jacana,5112d5004a281d6240590848eaf307d842c0f00101f901559a240000000000c00205,0,2,1,0,2,3,0,1,9
Jackass flat,511316cbe31f09624059e45938ff655c42c0f00103f901b1ae697a00000000c0020592030c4a61636b61737320466c6174,3,20,20,11,20,20,20,20,134
Jamieson,51750877c26644624059cb13083bc5a642c0f00101f90121ab270000000000c00208,0,4,1,0,0,0,0,20,25
Jan juc,511665db0e7209624059164218891a2c43c0f00101f901378e290000000000c00205,0,2,1,0,0,4,0,20,27
Jeeralang north,516530eb6a174e6240599bd5f14ef42d43c0f00103f901ec66a7d500000000c0020592030f4a656572616c616e67204e6f727468,0,0,1,0,0,0,0,11,12
Jeparit,515ad3612aa2bf6140598ec3aa8b251242c0f00103f9018b2d341900000000c002079203074a657061726974,0,3,1,1,0,0,0,20,25
Junction village,518c95e2f47f296240597dbfe2ba731143c0f00101f901eb24250000000000c00205,0,0,0,0,0,1,0,3,4
Junortoun,51dc1eaefa880b624059ac5b3d27bd6242c0f00101f9017464b20000000000c00206,0,0,1,0,0,1,0,20,22
Kalimna,512c712f8bcc7e6240597de9edcf45ef42c0f00101f901d85e280000000000c00206,0,1,0,0,0,0,0,15,16
Kalkallo,519a609390631e624059351eb63ef6c342c0f00101f901e294360000000000c00205,0,4,1,0,0,0,0,7,12
Kallista,51d698c6e5ee2b6240592d46b82462f142c0f00101f901d102250000000000c00205,0,4,1,0,0,2,1,20,28
Kalorama,510c5a48c0e82b624059fd625babe2e842c0f00101f9018dfb240000000000c00205,0,1,0,1,0,8,0,10,20
Kangaroo flat,5137e96cb7d30762405907e28629db6542c0f00103f901b877381300000000c0020592030d4b616e6761726f6f20466c6174,2,20,18,2,8,20,9,20,99
Kangaroo ground south,51d388997d1e27624059d316d7f84cde42c0c00204e203266f70656e7374726565746d61703a7374726565743a706f6c796c696e653a3332343833393832,2,20,15,3,4,20,4,20,88
Kaniva,51f3f395f6bca7614059adce7bad953042c0f00101f901208a300000000000c00207,0,2,1,0,1,1,0,20,25
Kealba,511d2a7c6c811a624059de51088959de42c0f00101f901e9c6240000000000c00205,0,2,1,0,1,5,1,2,12
Keilor,51909d5cf8661a62405964ae0caa0ddb42c0f00101f9017ba9240000000000c00205,0,9,5,0,5,20,0,17,56
Keilor downs,51a9c2fa9ac01962405952a346d73bdc42c0f00101f90184a9240000000000c00205,1,2,4,0,2,7,2,2,20
Keilor east,51bc36c0717e1b62405924d40ca9a2de42c0f00101f9016fa9240000000000c00205,2,7,4,1,1,13,1,5,34
Keilor lodge,517a4a18179819624059490b3c9c65d942c0f00101f9018fa9240000000000c00205,0,0,1,0,0,7,0,0,8
Keilor park,5118af1e9c341b624059e9a9c42bffdb42c0f00101f90192a9240000000000c00205,0,2,0,0,0,8,4,3,17
Kennington,51cf02a381ce09624059bd6257a4d36242c0f00103f90153126a7a00000000c0020592030a4b656e6e696e67746f6e,2,20,20,12,20,20,20,20,134
Kensington,5194090962aa1d62405954331070ade542c0f00101f9012b97240000000000c00205,0,20,5,1,12,20,14,19,91
Kerang,51b9d7930a74fd614059df0a7261eedd41c0f00101f9017c4e2f0000000000c00207,0,5,6,2,0,2,2,20,37
Kew,51cb30ee061121624059edfa6074d4e642c0f00101f901ee5f240000000000c00205,0,20,16,4,16,20,13,20,109
Kew east,512991e975b02162405913471e882ce542c0f00101f901d25f240000000000c00205,0,13,5,1,6,20,3,20,68
Kew north,51db60f25025216240591a1131cad8e542c0f00103f901814c453c01000000c0020192031b4b6577204e6f727468204c6f63616c20506f7374204f6666696365,10,20,20,20,20,20,20,20,150
Keysborough,51fe13b7655b256240598297cfa8af0043c0f00101f9018ff3240000000000c00205,3,20,11,3,5,20,4,20,86
Kialla,511f1329cda62c624059855ca967413542c0f00103f90155f3eebc00000000c002079203064b69616c6c61,5,20,16,8,12,20,12,20,113
Kilcunda,512777e9703e2f6240592d4e6b894b4643c0f00103f9010e942b0f00000000c002069203084b696c63756e6461,0,2,0,0,0,3,0,20,25
Killara (wodonga),51ed9f02bb755e6240590c570740dc1142c0f00103f9014fae380f00000000c002089203074b696c6c617261,0,3,3,2,1,19,0,20,48
Kilmore,5153ffc5d86e1e62405912d2641069a542c0f00101f901ff1e250000000000c00207,0,9,4,0,6,0,1,20,40
Kilsyth,511144ccdb072a6240597a843f68e2e642c0f00101f901fec8240000000000c00205,2,7,4,0,1,12,1,20,47
Kilsyth south,51f420f3b7f32962405944b9d9c46eea42c0f00101f901ffc8240000000000c00205,0,6,0,0,0,1,1,19,27
Kinglake,51db148f8bea2a624059a59828e730c442c0f00101f90157f9240000000000c00207,0,3,1,1,0,3,0,20,28
Kings park,51fd61f0d5b3186240598ed60748eadd42c0f00101f9018efb240000000000c00205,0,0,4,0,0,17,0,0,21
Kingsbury,515c51ef4e23216240590684d6c397db42c0f00101f901d05f240000000000c00205,0,3,3,0,1,16,0,0,23
Kingsville,51059e2056241c6240593dfcebcb88e742c0f00101f901a4a8240000000000c00205,0,4,0,0,3,3,0,0,10
Knoxfield,51d29edc00fd2762405926aebe15e4f142c0f00101f901feb6240000000000c00205,2,18,2,0,4,12,6,20,64
Koo wee rup,517d76c075c52f62405938cce1a47a1943c0f00101f901d360250000000000c00208,0,1,3,0,1,0,0,20,25
Koondrook,51fe52f5e10f046240592dedd45c6ed141c0f00101f90185572f0000000000c00207,0,2,1,0,0,0,0,20,23
Koroit,517db90501a8cb6140599e6230da3e2543c0f00101f9013743300000000000c00207,0,1,2,0,0,0,0,2,5
Korumburra,51495ee7f05a3a62405959ba27b4513743c0f00101f901a976280000000000c00207,0,6,3,1,1,1,0,20,32
Kurunjang,512a413514ed12624059eea4749fd2d442c0f00101f901612b250000000000c00205,0,0,3,0,0,20,0,1,24
Kyabram,51f29716f5892162405977425486162842c0f00101f9016a31260000000000c00208,0,2,2,0,1,1,0,20,26
Kyneton,518fa27323910e62405966fa25e2ad9f42c0f00101f9018c95250000000000c00207,0,11,6,4,2,10,1,20,54
Lake boga,518c15905139f461405983b174f4aeba41c0f00101f9014a5e2f0000000000c00207,0,2,1,1,0,0,0,18,22
Lake bunga,517464f6e327816240590a17f2086eee42c0f00101f901d95e280000000000c00206,0,0,0,0,0,0,0,8,8
Lake gardens,5134cef0b01afa6140598db85bedbcc542c0f00103f901f90274bb00000000c0020592030c4c616b652047617264656e73,5,20,20,10,14,20,20,20,129
Lake tyers beach,5180f277efa882624059ac6d2f0ed3ed42c0f00103f90122a30a5401000000c002069203104c616b65205479657273204265616368,0,2,1,0,0,0,0,20,23
Lake wendouree,51fc901216b0fa6140596ff607ca6dc642c0f00103f901a2d4d83800000000c0020592030e4c616b652057656e646f75726565,5,20,20,15,14,20,20,20,134
Lakes entrance,518fb6e0fbd17f6240597a99171692f042c0f00101f901da5e280000000000c00207,0,20,5,2,1,0,2,20,50
Lalor,51fb743c66202062405943e6caa0dad442c0f00101f901f386240000000000c00205,1,16,11,0,10,13,8,18,77
Lancefield,5167a3ce377d17624059f93e66b15ea342c0f00101f9012d5f250000000000c00207,0,0,2,0,1,0,0,20,23
Lang lang,5146bd96460232624059ac74779d0d2243c0f00101f901dd6b250000000000c00208,0,2,1,0,0,1,0,20,24
Langwarrin,51989e550b5126624059ab025a5fc91343c0f00101f9014617250000000000c00205,4,20,6,3,4,3,1,20,61
Lara,5196d46421150d62405987a9882e030343c0f00101f901ca77250000000000c00207,0,19,5,1,8,20,6,20,79
Lara lake,51349dd19dff0c624059d05c4cd8a30343c0f00102f901172de90200000000c002019203124c617261204c616b65205765746c616e6473,0,20,8,1,9,20,6,20,84
Launching place,5188d459d23632624059101f7d38ede342c0f00101f901e12b250000000000c00208,0,1,1,0,0,1,0,20,23
Laverton,51172e066a8c18624059dce1653c00ee42c0f00101f90171f9240000000000c00205,0,9,4,0,1,10,5,15,44
Laverton south,517e9065c1c418624059aa27f38fbeed42c0c00208e2031e77686f736f6e66697273743a6c6f63616c6974793a313031393333313631,5,20,20,1,14,20,20,20,120
Leitchville,51e712584aa0096240595f549cb4baf341c0f00101f9017272260000000000c00208,0,1,2,0,0,1,0,20,24
Leneva,5100d8cce67f5b624059d2dc0a61351a42c0f00101f901d088270000000000c00206,0,0,1,0,0,1,0,20,22
Leongatha,5181423d7d443e624059e3a194b5f23c43c0f00101f901609b280000000000c00207,0,9,7,1,1,1,1,20,40
Leopold,51b9832227dd0e6240593e31a138361843c0f00101f901f078250000000000c00207,1,4,2,0,2,4,0,14,27
Lilydale,514dbed9e6462b6240590eee7321fbe042c0f00101f9015df9240000000000c00205,3,20,10,3,7,20,9,20,92
Lindenow,510843780fab6e6240599becfa6074e642c0f00103f90141ec988100000000c002079203084c696e64656e6f77,0,4,2,0,0,0,0,20,26
Lismore,5196bb8564f7ea6140590c91d3d7f3f942c0f00103f9016f05ac2300000000c002079203074c69736d6f7265,0,3,1,0,0,0,0,20,24
Loch,515611c9eb9c36624059b81e85eb512f43c0f00101f901a16f280000000000c00207,0,4,1,0,0,1,0,20,26
Loch sport,5177fb07ecc57262405907150b32b80543c0f00103f9018c0ff9bb00000000c0020792030a4c6f63682053706f7274,1,3,1,0,1,0,0,10,16
Lockington,51da571ea42711624059bc08ae4dbe2242c0f00103f9010d9e212100000000c0020692030a4c6f636b696e67746f6e,0,0,1,0,0,0,0,5,6
Long gully,51b37515f74408624059fcc973d8d85e42c0f00103f901b4ae697a00000000c0020592030a4c6f6e672047756c6c79,2,20,20,11,20,20,20,20,133
Longwarry,51717e79b7a838624059f4e8fcca390e43c0f00103f9014948717f00000000c002089203094c6f6e677761727279,0,4,2,0,1,3,0,20,30
Lorne,51221395b231ff614059890d7107454543c0f00101f90137b2290000000000c00207,0,20,1,4,1,4,0,20,50
Lovely banks,512033abf07c0a62405920274c18cd0643c0f00101f901937a250000000000c00206,0,4,2,0,0,2,0,6,14
Lower plenty,5154e0641bb823624059852d2c6e92de42c0f00101f9014959240000000000c00205,0,3,1,0,2,11,0,20,37
Lucas,515aa8eb3fa1f861405930b95164adc642c0f00101f901a59e400000000000c00205,1,4,2,0,1,0,0,20,28
Lucknow,5108c2b65b7275624059ea25c632fde642c0f00101f9011358280000000000c00206,0,2,1,1,0,0,0,20,24
Lynbrook,51c9827813322862405975c35b8c260743c0f00101f901e409250000000000c00205,1,5,2,0,1,4,0,5,18
Lyndhurst,5166225b4c62276240599542c5ddc50843c0f00101f901170a250000000000c00205,1,10,1,0,0,6,0,16,34
Lysterfield,51f7281202a829624059c123850daaf742c0f00101f901b6f3240000000000c00205,0,6,1,0,0,1,0,20,28
Lysterfield south,51e65c8aab8a28624059a0f94102ebf942c0f00101f901b8f3240000000000c00205,0,0,0,0,0,0,0,15,15
Macedon,510a229c600912624059a214634ff1b542c0f00101f9015959250000000000c00207,0,4,2,1,0,1,3,20,31
Macleod,510b0bee073c22624059cc5b1a6437dc42c0f00101f901e34f240000000000c00205,0,3,4,0,0,20,3,8,38
Macs cove,510ccc702aa344624059fcc6d79e599a42c0f00101f901376ab20000000000c00206,0,0,0,0,0,0,0,3,3
Maddingley,51abb8cc446c0d624059f47574b746d942c0f00101f901b277250000000000c00205,0,2,2,0,2,2,0,20,28
Maffra,51e051befb3e5f62405947c60f3a8dfb42c0f00101f901d8d5270000000000c00207,0,7,3,0,2,1,5,20,38
Maiden gully,511adf17976a066240592debfeb1105f42c0f00103f901766c521100000000c0020592030c4d616964656e2047756c6c79,0,3,5,0,0,20,0,20,48
Maidstone,51758ea61ff91b624059f5914a6716e442c0f00101f9018ba8240000000000c00205,1,1,0,0,0,15,0,20,37
Maldon,5165d69ccd34026240595644f23a877f42c0f00101f9012fc32a0000000000c00207,0,4,2,7,1,7,3,20,44
Mallacoota,513f86336421b86240591e34bbeeadc742c0f00101f9015e60280000000000c00207,0,4,2,1,0,0,1,20,28
Malmsbury,5103b2d7bb3f0c6240596e84ea8b299842c0f00101f9018f95250000000000c00208,0,3,2,1,0,1,0,20,27
Malvern,51d285fd431f2162405983610a20c6ed42c0f00101f9011a78240000000000c00205,0,20,7,0,5,20,8,1,61
Malvern east,511fc594a31b226240597c7e18213cf042c0f00101f901388e240000000000c00205,2,20,8,2,3,20,20,20,95
Mambourin,510eee186808136240592cf6f29606f242c0f00101f9016381270000000000c00205,0,0,0,0,0,0,1,1,2
Manifold heights,51ad8fe277ae0a624059b9a40f02971143c0f00101f901947a250000000000c00205,0,4,1,0,1,13,0,0,19
Manor lakes,518de612580a13624059d0effb372fef42c0f00101f9016cf76f0000000000c00205,1,5,4,0,0,10,0,10,30
Mansfield,512cb7b41ad24262405996708d74ab8642c0f00101f901759e260000000000c00207,0,17,6,1,1,0,1,20,46
Marengo,51fdc79d2d3bf5614059315aec9ba06343c0f00101f901cdc7290000000000c00208,0,0,0,0,0,0,0,20,20
Maribyrnong,51a587fc8e7c1c62405989e6a6727fe242c0f00101f901c39d240000000000c00205,1,20,4,3,10,20,3,20,81
Marlo,513fdde5c704916240590c4b4dccc4e542c0f00103f90181ed8d0300000000c002089203054d61726c6f,0,5,1,0,0,0,1,20,27
Marong,51d49cbcc84404624059517d31a53f5e42c0f00101f90166062f0000000000c00207,0,1,1,0,0,2,0,20,24
Marshall,515036e50a6f0b624059f3b7f3b3471943c0f00101f9014f8c250000000000c00205,0,0,0,0,0,3,0,3,6
Maryborough,51b4226aa28ff761405927f2c92f288642c0f00101f901f3252f0000000000c00207,0,12,4,0,1,2,0,20,39
Marysville,518d8ef51ef8376240592d8da90540c142c0f00103f901a11bee0500000000c0020792030a4d6172797376696c6c65,0,4,1,3,1,0,0,20,29
Mccrae,51b9db9a19e21d6240592bdf8ecb132e43c0f00101f9015e67250000000000c00205,1,1,0,0,0,0,1,18,21
Mckenzie hill,51cc448228e3056240590418963fdf8842c0f00101f901a9352a0000000000c00206,0,0,0,0,0,1,0,14,15
Mckinnon,51a054fb743c21624059b176ca598ef442c0f00101f901d79a240000000000c00205,0,0,1,0,2,12,0,0,15
Mcloughlins beach,518422275d845c624059132dd4f59f4d43c0f00103f901a20b625301000000c002069203114d636c6f7567686c696e73204265616368,0,0,0,0,0,0,0,10,10
Meadow heights,5182a55fc7641d624059d81e076f59d342c0f00101f901e79a240000000000c00205,1,1,2,0,0,15,0,3,22
Melton,51cef4b7a9a6126240598fbd83447fd742c0f00101f9017c2b250000000000c00208,0,6,3,0,1,20,0,14,44
Melton south,5147286cf54b1262405923484a1f5fda42c0f00101f9010838250000000000c00205,1,0,5,0,0,20,0,0,26
Melton west,51a8195245b1116240598c18d1d105d742c0f00101f901353b250000000000c00205,4,8,7,1,2,20,1,3,46
Mentone,51bef0efd834226240593e703a6e9dfd42c0f00101f901e8c6240000000000c00205,1,20,9,1,20,20,20,3,94
Menzies creek,510f2b37ac042d624059a6f4a7e8a3f542c0f00101f901260a250000000000c00205,0,1,1,0,0,4,0,20,26
Merbein,51482a9d59dcc1614059b88fdc9a741541c0f00101f901ef8b2f0000000000c00207,0,6,3,0,0,1,1,16,27
Meredith,51736f34366a026240596da8bd2dfdeb42c0f00101f901cc9e2f0000000000c00208,0,1,1,1,0,2,0,20,25
Merinda park,518483bd89a1c46140590ad80e46ec1941c0c00204e203266f70656e7374726565746d61703a7374726565743a706f6c796c696e653a3236333831343036,1,20,20,12,15,20,20,20,128
Mernda,518bd69b629f226240597b922a40cacb42c0f00101f9017c90240000000000c00205,2,20,6,0,8,20,1,20,77
Merrigum,514cbb3dad4724624059cc441152b72f42c0f00103f901f078140f00000000c002069203084d6572726967756d,0,1,1,0,0,2,0,20,24
Merrijig (mansfield),514991c6b26a48624059d4d74eef3d8d42c0f00103f9017b24583600000000c002089203084d657272696a6967,0,2,2,0,0,0,0,20,24
Metung,514efb9c71507b624059e754320054f242c0f00103f901c24dd52800000000c002079203064d6574756e67,0,2,2,0,1,0,0,12,17
Mickleham,518857a3682f1d624059caf154d169c442c0f00101f90184fb240000000000c00205,1,2,5,0,0,20,0,20,48
Middle park,514f7ee607c91e6240592b3aed84f2ec42c0f00101f9014f97240000000000c00205,0,13,2,0,6,20,0,0,41
Mildura,5190639060cfc46140592ae109bdfe1841c0f00101f901ea8b2f0000000000c00207,1,20,16,12,13,20,20,20,122
Mill park,51a275f97b0e226240593497c05202d542c0f00101f901786b240000000000c00205,5,20,9,2,11,20,4,20,91
Millgrove,51f7e05a922835624059cf73fa3031e042c0f00101f9017053250000000000c00208,0,2,2,0,0,5,0,10,19
Miners rest,51b1715875b1f9614059445266de05be42c0f00101f9019bcb2f0000000000c00205,0,0,1,0,0,7,0,20,28
Minyip,519333b9bdc9d26140591f0eb7e8093b42c0f00101f9019d652f0000000000c00207,0,3,1,0,0,1,0,20,25
Mirboo north,51fb6827391645624059beef294a533343c0f00103f90121a30a5401000000c0020792030c4d6972626f6f204e6f727468,0,9,3,0,0,2,0,20,34
Mitcham,5132e719fb52266240593af0c572a6e842c0f00101f9015190240000000000c00205,0,20,5,3,6,20,2,10,66
Mitchell park,5110470d5cd4f9614059f1f3df83d7c142c0f00103f9016d5bd93800000000c0020592030d4d69746368656c6c205061726b,4,20,17,5,5,20,15,20,106
Moe,512d605d706148624059247035fcb81643c0f00101f901ecab270000000000c00207,0,13,5,0,2,1,0,9,30
Monbulk,519fd8c634622d624059f29881caf8ef42c0f00101f90162fe3a0000000000c002059203104d6f6e62756c6b204469737472696374,0,20,20,10,15,20,17,20,122
Mont albert,51c96e0b3b7123624059edb4da68a5e842c0f00101f901e85f240000000000c00205,0,1,2,0,0,12,1,0,16
Mont albert north,51b33d1f0a8b236240599a305008d3e642c0f00101f9017560240000000000c00205,0,1,2,0,0,1,0,3,7
Montmorency,51e943bc1a0524624059c7a0134207dc42c0f00101f901cf5f240000000000c00205,0,16,4,0,3,20,6,3,52
Montrose,51167948e7f22a62405937ead78cc2e742c0f00101f901abf3240000000000c00205,0,5,4,0,3,15,1,16,44
